Date,Open,High,Low,Close,Adj Close,Volume
2015-12-23,6.491670,6.566670,6.475000,6.558330,5.348630,27229330
2015-12-24,6.591670,6.591670,6.466670,6.533330,5.328242,9552864
2015-12-28,6.541670,6.550000,6.450000,6.475000,5.280671,21686426
2015-12-29,6.500000,6.516670,6.383330,6.433330,5.246688,20534208
2015-12-30,6.475000,6.483330,6.291670,6.366670,5.192323,31884920
2015-12-31,6.408330,6.441670,6.350000,6.400000,5.219505,8709144
2016-01-04,6.333330,6.383330,6.125000,6.200000,5.056396,23357784
2016-01-05,6.200000,6.308330,6.108330,6.175000,5.036007,19994158
2016-01-06,6.083330,6.158330,6.033330,6.091670,4.968048,30052207
2016-01-07,6.091670,6.091670,6.091670,6.091670,4.968048,0
2016-01-08,6.000000,6.025000,5.850000,5.958330,4.859302,31289461
2016-01-11,5.816670,5.816670,5.508330,5.750000,4.689399,47115775
2016-01-12,5.808330,5.850000,5.733330,5.775000,4.709788,31522676
2016-01-13,5.966670,6.025000,5.750000,5.783330,4.716582,24472946
2016-01-14,5.625000,5.808330,5.616670,5.783330,4.716582,25097167
2016-01-15,5.683330,5.783330,5.600000,5.633330,4.594249,41655490
2016-01-18,5.591670,5.641670,5.533330,5.558330,4.533083,45745584
2016-01-19,5.583330,5.716670,5.566670,5.683330,4.635027,43189479
2016-01-20,5.566670,5.658330,5.250000,5.441670,4.437942,54678927
2016-01-21,5.450000,5.558330,5.316670,5.333330,4.349585,43480456
2016-01-22,5.583330,5.583330,5.433330,5.541670,4.519496,48197971
2016-01-25,5.508330,5.600000,5.508330,5.583330,4.553472,33295068
2016-01-26,5.541670,5.641670,5.416670,5.525000,4.505901,56208886
2016-01-27,5.633330,5.633330,5.541670,5.575000,4.546678,51228344
2016-01-28,5.533330,5.650000,5.500000,5.558330,4.533083,34021195
2016-01-29,5.608330,5.708330,5.525000,5.700000,4.648622,54036333
2016-02-01,5.725000,5.725000,5.608330,5.650000,4.607845,53498252
2016-02-02,5.600000,5.633330,5.525000,5.550000,4.526289,32866072
2016-02-03,5.541670,5.541670,5.316670,5.391670,4.397164,71744202
2016-02-04,5.416670,5.516670,5.416670,5.491670,4.478719,43808547
2016-02-05,5.491670,5.566670,5.466670,5.550000,4.600910,25927368
2016-02-11,5.500000,5.500000,5.233330,5.341670,4.428205,49057809
2016-02-12,5.200000,5.333330,5.108330,5.141670,4.262407,78157344
2016-02-15,5.241670,5.383330,5.233330,5.358330,4.442017,42324114
2016-02-16,5.483330,5.516670,5.425000,5.450000,4.518011,31550904
2016-02-17,5.508330,5.525000,5.408330,5.458330,4.524916,46491901
2016-02-18,5.541670,5.625000,5.500000,5.591670,4.635454,31646232
2016-02-19,5.550000,5.641670,5.525000,5.550000,4.600910,17740477
2016-02-22,5.566670,5.691670,5.558330,5.683330,4.711440,24568718
2016-02-23,5.666670,5.683330,5.608330,5.650000,4.683809,18377088
2016-02-24,5.591670,5.691670,5.566670,5.641670,4.676904,16250666
2016-02-25,5.658330,5.658330,5.416670,5.483330,4.545640,29326978
2016-02-26,5.675000,5.691670,5.475000,5.491670,4.552555,44916722
2016-02-29,5.416670,5.500000,5.308330,5.316670,4.407481,82640047
2016-03-01,5.416670,5.450000,5.333330,5.441670,4.511105,37297714
2016-03-02,5.566670,5.650000,5.475000,5.583330,4.628540,56811267
2016-03-03,5.650000,5.666670,5.575000,5.616670,4.656178,25909737
2016-03-04,5.666670,5.883330,5.600000,5.833330,4.835788,72651367
2016-03-07,5.850000,6.083330,5.850000,5.941670,4.925601,44981274
2016-03-08,5.933330,5.933330,5.750000,5.883330,4.877238,24905480
2016-03-09,5.850000,5.891670,5.733330,5.875000,4.870333,25581878
2016-03-10,5.800000,5.916670,5.750000,5.808330,4.815063,18651631
2016-03-11,5.758330,5.950000,5.741670,5.941670,4.925601,26367816
2016-03-14,5.958330,6.000000,5.833330,5.941670,4.925601,34321536
2016-03-15,5.933330,5.941670,5.850000,5.908330,4.897963,19728120
2016-03-16,5.908330,5.941670,5.833330,5.908330,4.897963,19605153
2016-03-17,5.950000,6.041670,5.908330,5.950000,4.932507,23467581
2016-03-18,5.958330,6.083330,5.958330,6.075000,5.036131,35547388
2016-03-21,6.016670,6.208330,5.991670,6.158330,5.105211,30476284
2016-03-22,6.216670,6.216670,6.041670,6.066670,5.029225,23593000
2016-03-23,6.083330,6.125000,5.991670,6.033330,5.001587,15913752
2016-03-24,6.016670,6.016670,5.891670,5.941670,4.925601,21621412
2016-03-29,5.958330,6.000000,5.875000,5.950000,4.932507,16955618
2016-03-30,5.983330,6.100000,5.966670,6.066670,5.029225,27242233
2016-03-31,6.083330,6.100000,5.950000,6.033330,5.001587,27140764
2016-04-01,6.033330,6.058330,5.833330,5.875000,4.870333,37198839
2016-04-05,5.833330,5.858330,5.750000,5.833330,4.835788,49127641
2016-04-06,5.750000,5.850000,5.750000,5.825000,4.828883,29842658
2016-04-07,5.791670,5.866670,5.791670,5.850000,4.849607,23983322
2016-04-08,5.841670,5.916670,5.758330,5.900000,4.891057,22143745
2016-04-11,5.850000,5.966670,5.833330,5.933330,4.918688,14178706
2016-04-12,5.933330,5.933330,5.866670,5.900000,4.891057,7936308
2016-04-13,5.933330,6.083330,5.916670,6.066670,5.029225,34307042
2016-04-14,6.125000,6.208330,6.066670,6.075000,5.036131,24287766
2016-04-15,6.125000,6.133330,6.025000,6.125000,5.077580,15251947
2016-04-18,6.066670,6.125000,6.000000,6.083330,5.043037,17453064
2016-04-19,6.166670,6.233330,6.133330,6.225000,5.160480,28333100
2016-04-20,6.225000,6.241670,6.083330,6.175000,5.119030,23993821
2016-04-21,6.216670,6.250000,6.125000,6.225000,5.160480,22760898
2016-04-22,6.166670,6.233330,6.100000,6.133330,5.084486,19767264
2016-04-25,6.141670,6.141670,6.000000,6.025000,4.994682,16937758
2016-04-26,6.083330,6.083330,5.916670,6.050000,5.015407,18121154
2016-04-27,6.041670,6.150000,5.991670,6.141670,5.091400,32493170
2016-04-28,6.175000,6.200000,6.091670,6.183330,5.125936,35325960
2016-04-29,6.125000,6.158330,6.058330,6.091670,5.049951,16702465
2016-05-03,6.083330,6.083330,5.925000,5.966670,4.946326,33041952
2016-05-04,5.891670,5.975000,5.875000,5.966670,4.946326,37307689
2016-05-05,5.891670,5.941670,5.866670,5.916670,4.904876,60909336
2016-05-06,5.866670,5.950000,5.841670,5.883330,4.877238,82812336
2016-05-09,5.908330,6.000000,5.875000,5.883330,4.877238,65456395
2016-05-10,5.841670,6.016670,5.833330,5.991670,4.967052,41334330
2016-05-11,6.008330,6.025000,5.916670,5.950000,4.932507,21307507
2016-05-12,5.950000,5.975000,5.850000,5.875000,4.870333,42244214
2016-05-13,5.858330,5.908330,5.816670,5.883330,4.877238,46107824
2016-05-16,5.875000,5.925000,5.750000,5.866670,4.863427,55351518
2016-05-17,5.875000,6.000000,5.825000,5.983330,4.960136,60797676
2016-05-18,5.841670,5.891670,5.825000,5.841670,4.842702,43471111
2016-05-19,5.800000,5.866670,5.791670,5.833330,4.835788,25760160
2016-05-20,5.866670,5.933330,5.741670,5.883330,4.877238,42862408
2016-05-23,5.891670,5.991670,5.891670,5.975000,4.953231,31037976
2016-05-24,5.925000,5.975000,5.883330,5.966670,4.946326,32691769
2016-05-25,6.033330,6.166670,6.000000,6.158330,5.105211,55025749
2016-05-26,6.166670,6.175000,6.066670,6.091670,5.049951,25698403
2016-05-27,6.158330,6.158330,6.050000,6.116670,5.070675,35002658
2016-05-30,6.116670,6.191670,6.066670,6.141670,5.091400,27435747
2016-05-31,6.108330,6.208330,6.091670,6.100000,5.056856,51703509
2016-06-01,6.100000,6.133330,6.041670,6.075000,5.036131,83321262
2016-06-02,6.108330,6.108330,6.041670,6.083330,5.043037,22989955
2016-06-03,6.125000,6.166670,6.066670,6.141670,5.091400,26897509
2016-06-06,6.191670,6.250000,6.133330,6.250000,5.181204,20312612
2016-06-07,6.275000,6.350000,6.216670,6.308330,5.229560,28444676
2016-06-08,6.350000,6.375000,6.275000,6.341670,5.257199,24782667
2016-06-10,6.108330,6.150000,5.875000,5.883330,5.027388,66194114
2016-06-13,5.758330,5.875000,5.758330,5.866670,5.013152,60552721
2016-06-14,5.841670,5.958330,5.816670,5.883330,5.027388,30668446
2016-06-15,5.775000,5.941670,5.775000,5.841670,4.991788,37990299
2016-06-16,5.808330,5.900000,5.808330,5.850000,4.998907,39305370
2016-06-17,6.000000,6.000000,5.908330,5.958330,5.091476,24228585
2016-06-20,6.041670,6.166670,5.975000,6.150000,5.255261,148852599
2016-06-21,6.183330,6.191670,6.091670,6.166670,5.269506,25311936
2016-06-22,6.166670,6.191670,6.116670,6.175000,5.276625,25344600
2016-06-23,6.200000,6.208330,6.116670,6.125000,5.233899,30129484
2016-06-24,6.116670,6.200000,5.833330,6.000000,5.127084,52671744
2016-06-27,5.983330,6.125000,5.900000,6.083330,5.198291,46358136
2016-06-28,5.983330,6.125000,5.941670,6.100000,5.212535,31763208
2016-06-29,6.191670,6.225000,6.083330,6.200000,5.297987,30293208
2016-06-30,6.291670,6.291670,6.183330,6.233330,5.326468,24562636
2016-07-04,6.275000,6.291670,6.225000,6.233330,5.326468,32240880
2016-07-05,6.225000,6.225000,6.108330,6.175000,5.276625,20930882
2016-07-06,6.133330,6.133330,6.050000,6.075000,5.191172,21368328
2016-07-07,6.091670,6.158330,6.083330,6.141670,5.248144,12743289
2016-07-08,6.125000,6.200000,6.066670,6.133330,5.241016,15486720
2016-07-11,6.291670,6.291670,6.191670,6.200000,5.297987,23475907
2016-07-12,6.266670,6.291670,6.233330,6.283330,5.369193,42703816
2016-07-13,6.291670,6.366670,6.275000,6.325000,5.404801,31413139
2016-07-14,6.358330,6.391670,6.291670,6.375000,5.447527,56847351
2016-07-15,6.366670,6.483330,6.333330,6.425000,5.490252,37738201
2016-07-18,6.458330,6.666670,6.450000,6.658330,5.689636,77938180
2016-07-19,6.675000,6.708330,6.541670,6.583330,5.625548,49058667
2016-07-20,6.608330,6.708330,6.591670,6.683330,5.710999,47554587
2016-07-21,6.683330,6.808330,6.675000,6.758330,5.775087,50539144
2016-07-22,6.775000,6.783330,6.716670,6.775000,5.789332,38994709
2016-07-25,6.750000,6.816670,6.691670,6.791670,5.803576,28441142
2016-07-26,6.733330,6.791670,6.733330,6.733330,5.753724,32090833
2016-07-27,6.750000,6.866670,6.700000,6.866670,5.867666,52330836
2016-07-28,6.866670,6.866670,6.766670,6.833330,5.839176,60330261
2016-07-29,6.816670,6.875000,6.741670,6.741670,5.760851,57903955
2016-08-01,6.900000,6.983330,6.783330,6.875000,5.874784,45864892
2016-08-02,6.875000,6.875000,6.875000,6.875000,5.874784,0
2016-08-03,6.741670,6.858330,6.716670,6.800000,5.810695,44131964
2016-08-04,6.825000,6.858330,6.741670,6.825000,5.832058,30330864
2016-08-05,6.900000,6.900000,6.816670,6.866670,5.867666,28157112
2016-08-08,6.908330,6.908330,6.833330,6.891670,5.889029,17189409
2016-08-09,6.916670,6.950000,6.841670,6.916670,5.910391,12809376
2016-08-10,6.950000,7.000000,6.900000,6.983330,5.967353,16527108
2016-08-11,6.983330,7.041670,6.933330,7.000000,5.981598,32921557
2016-08-12,7.025000,7.066670,7.000000,7.033330,6.010079,23119032
2016-08-15,7.000000,7.083330,7.000000,7.041670,6.017205,32033589
2016-08-16,7.083330,7.083330,6.991670,7.000000,5.981598,31420864
2016-08-17,7.066670,7.066670,7.000000,7.050000,6.024324,24222418
2016-08-18,7.050000,7.050000,6.975000,7.008330,5.988716,35742912
2016-08-19,7.150000,7.150000,6.925000,6.966670,5.953117,20139554
2016-08-22,7.008330,7.008330,6.825000,6.925000,5.917510,23016733
2016-08-23,6.933330,6.958330,6.891670,6.925000,5.917510,14226912
2016-08-24,6.958330,6.958330,6.800000,6.891670,5.889029,26289288
2016-08-25,6.916670,6.916670,6.808330,6.833330,5.839176,25288392
2016-08-26,6.866670,6.941670,6.816670,6.900000,5.896147,16098480
2016-08-29,6.908330,6.908330,6.791670,6.825000,5.832058,18038832
2016-08-30,6.833330,6.983330,6.816670,6.958330,5.945991,23811722
2016-08-31,6.958330,7.016670,6.916670,6.950000,5.938872,20076147
2016-09-01,6.916670,6.941670,6.875000,6.933330,5.924628,26429320
2016-09-02,6.933330,7.033330,6.900000,7.033330,6.010079,26858115
2016-09-05,7.166670,7.166670,7.050000,7.091670,6.059932,24278404
2016-09-06,7.116670,7.116670,7.066670,7.108330,6.074167,18554469
2016-09-07,7.108330,7.208330,7.091670,7.183330,6.138256,27200112
2016-09-08,7.150000,7.225000,7.150000,7.200000,6.152501,16872805
2016-09-09,7.208330,7.333330,7.200000,7.283330,6.223708,42946056
2016-09-12,7.041670,7.091670,6.933330,6.966670,6.064209,45675920
2016-09-13,7.008330,7.133330,7.008330,7.008330,6.100472,41514520
2016-09-14,7.066670,7.116670,6.966670,7.075000,6.158505,35505168
2016-09-15,7.041670,7.200000,7.025000,7.158330,6.231042,37261341
2016-09-19,7.191670,7.291670,7.166670,7.250000,6.310836,28842806
2016-09-20,7.258330,7.291670,7.216670,7.250000,6.310836,24357105
2016-09-21,7.216670,7.375000,7.208330,7.358330,6.405133,25331496
2016-09-22,7.400000,7.466670,7.308330,7.366670,6.412393,25988461
2016-09-23,7.458330,7.458330,7.341670,7.400000,6.441406,25581548
2016-09-26,7.358330,7.408330,7.258330,7.408330,6.448656,33947868
2016-09-27,7.358330,7.433330,7.316670,7.425000,6.463167,31975046
2016-09-28,7.333330,7.441670,7.333330,7.441670,6.477677,25249449
2016-09-29,7.466670,7.491670,7.433330,7.466670,6.499439,23927892
2016-09-30,7.391670,7.475000,7.375000,7.450000,6.484928,38854526
2016-10-03,7.491670,7.500000,7.425000,7.450000,6.484928,14471403
2016-10-04,7.491670,7.500000,7.391670,7.500000,6.528451,79413457
2016-10-05,7.483330,7.500000,7.416670,7.491670,6.521201,11297174
2016-10-06,7.491670,7.541670,7.433330,7.516670,6.542963,13829720
